title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,publisher,media_avaliacao
Practical Data Science with R,"[Nina Zumel,John Mount]",35.74,483,4.5,36,0.71,0.14,0.11,0.05,0,Manning,0.302666666666667
Neo4j Graph Data Science Certified: Exam Practice Tests,[Cristian Scutaru],14.99,118,4.5,2,0.5,0.5,0,0,0,Independently published (April 1 2021),0.3
Grokking Machine Learning,[Luis Serrano],47.99,512,4.6,10,0.72,0.14,0.14,0,0,Manning (December 14 2021),0.305333333333333
Data Science for Immunologists,"[Niclas Thomas,Laura Pallett]",28.06,159,4.7,18,0.68,0.32,0,0,0,CreateSpace Independent Publishing Platform,0.312
Data Science Analytics and Machine Learning with R,"[Luiz Paulo Favero,Patricia Belfiore et al.]",150,924,,0,0,0,0,0,0,Academic Press,0
The TensorFlow Workshop: A hands-on guide to building deep learning models from scratch using real-world datasets,"[Matthew Moocarme,Anthony So et al.]",41.99,600,4.3,26,0.54,0.29,0.09,0.08,0,Packt Publishing (December 15 2021),0.286
Data Action: Using Data for Public Good,[Sarah Williams],33.69,312,4.7,38,0.83,0.07,0.06,0.04,0,The MIT Press (December 8 2020),0.312666666666667
Data Governance For Dummies,[Jonathan Reichental],34.99,320,,0,0,0,0,0,0,For Dummies,0
A Criminologists Guide to R: Crime the Numbers (Chapman & Hall/CRC The R Series),[Jacob Kaplan],79.96,434,,0,0,0,0,0,0,Chapman and Hall/CRC,0
Marketing Analytics: A Practical Guide to Improving Consumer Insights Using Data Techniques,[Mike Grigs],35.99,240,4.4,50,0.68,0.14,0.08,0.07,0.03,Kogan Page,0.291333333333333
Applied Data Science: Lessons Learned for the Data-Driven Business,"[Martin Braschler,Thilo Stadelmann et al.]",179.99,478,1,1,1,0,0,0,0,Springer,0.333333333333333
The Pandas Workshop: A comprehensive guide to using Python for data analysis with real-world case studies,"[Blaine Bateman,Saikat Basak et al.]",47.49,744,4.6,10,0.73,0.14,0.13,0,0,Packt Publishing (June 17 2022),0.306666666666667
Data Modeling for Azure Data Services: Implement professional data design and structures in Azure,[Peter ter Braake],51.99,428,4.6,16,0.58,0.42,0,0,0,Packt Publishing (July 30 2021),0.305333333333333
SQL for Data Analytics: Perform fast and efficient data analysis with the power of SQL,"[Upom Malik,Matt Goldwasser et al.]",27.89,386,4.4,226,0.68,0.14,0.11,0.04,0.03,Packt Publishing (August 23 2019),0.293333333333333
Ethics of Data and Analytics: Concepts and Cases,[Kirsten Martin],69.95,474,,0,0,0,0,0,0,Auerbach Publications,0
Introduction to Computation and Programming Using Python: With Application to Understanding Data (The MIT Press),[John V. Guttag],42.75,472,4.6,561,0.77,0.14,0.06,0.01,0.02,The MIT Press,0.308666666666667
SQL: 3 books 1 - The Ultimate Beginner Intermediate & Expert Guides To Master SQL Programming Quickly with Practical Exercises,[Mark Reed],24.29,346,4.9,187,0.93,0.07,0,0,0,Independently published (July 10 2022),0.328666666666667
Machine Learning Bookcamp: Build a portfolio of real-life projects,[Alexey Grigorev],35.99,472,5,7,1,0,0,0,0,Manning (November 23 2021),0.333333333333333
The Data Model Resource Book Vol. 2: A Library of Data Models for Specific Industries,"[Len Silverston,John A. Zachman]",61.82,576,4,36,0.6,0.11,0.09,0.09,0.1, DM Review,0.266
Essential PySpark for Scalable Data Analytics: A beginners guide to harnessing the power and ease of PySpark 3,[Sreeram Nudurupati],46.99,322,4.5,16,0.74,0.09,0.08,0.09,0,Packt Publishing (October 29 2021),0.298666666666667
Cloud Scale Analytics with Azure Data Services: Build modern data warehouses on Microsoft Azure,[Patrik Borosch],54.99,520,4.8,7,0.82,0.18,0,0,0,Packt Publishing (July 23 2021),0.321333333333333
Can We Trust AI? (Johns Hopkins Wavelengths),"[Rama Chellappa,Eric Niiler]",16.95,224,,0,0,0,0,0,0,Johns Hopkins University Press (November 15 2022),0
Data Engineering with Python: Work with massive datasets to design data models and automate data pipelines using Python,[Paul Crickard],37.79,356,4.2,95,0.58,0.19,0.1,0.08,0.05,Packt Publishing (October 23 2020),0.278
Mastering Tableau 2021: Implement advanced business intelligence techniques and analytics with Tableau 3rd Edition,"[Marleen Meier,David Baldwin et al.]",46.99,792,4.4,83,0.7,0.14,0.06,0.02,0.08,Packt Publishing (May 31 2021),0.290666666666667
Geographical Data Science and Spatial Data Analysis: An Introduction in R (Spatial Analytics and GIS),,51,360,4.5,6,0.49,0.51,0,0,0,SAGE Publications Ltd,0.299333333333333
Malware Data Science: Attack Detection and Attribution,"[Joshua Saxe,Hillary Sanders]",37.03,272,4.6,87,0.71,0.18,0.08,0.01,0.01,No Starch Press (September 25 2018),0.302666666666667
Learning Geospatial Analysis with Python: Understand GIS fundamentals and perform remote sensing data analysis using Python 3.7 3rd Edition,[Joel Lawhead],49.99,456,4.4,26,0.62,0.2,0.12,0.06,0,Packt Publishing (September 27 2019),0.292
The Big Book of Dashboards: Visualizing Your Data Using Real-World Business Scenarios,"[Steve Wexler,Jeffrey Shaffer et al.]",24.49,448,4.6,662,0.72,0.18,0.07,0.02,0.01,Wiley,0.305333333333333
Machine Learning with R: Expert techniques for predictive modeling 3rd Edition,[Brett Lantz],37.99,458,4.6,232,0.78,0.13,0.05,0.02,0.02,Packt Publishing,0.308666666666667
Hands-on Programmatic In-house Digital Advertising: Learn Data Design AI Implementation Bidding Strategies and Strategic Thinking (English Edition),[Raghavendra Agarwala],29.95,208,3.5,2,0.5,0.5,0,0,0,BPB Publications (October 4 2021),0.3
Ontology-Based Information Retrieval for Healthcare Systems,[Vishal Jain],197.02,384,,0,0,0,0,0,0,Wiley-Scrivener,0
Data Governance: How to Design Deploy and Sustain an Effective Data Governance Program (The Morgan Kaufmann Series on Business Intelligence),,39.17,264,4.3,87,0.66,0.14,0.09,0.04,0.06,Morgan Kaufmann,0.284666666666667
Data Science in Context: Foundations Challenges Opportunities,"[Alfred Z. Spector,Peter Norvig et al.]",39.99,335,,0,0,0,0,0,0,Cambridge University Press,0
Python Machine Learning: Machine Learning and Deep Learning with Python scikit-learn and TensorFlow 2 3rd Edition,"[Sebastian Raschka,Vahid Mirjalili]",49.39,770,4.5,387,0.71,0.2,0.04,0.03,0.03,Packt Publishing,0.304
Machine Learning in Biotechnology and Life Sciences: Build machine learning models using Python and deploy them on the cloud,[Saleh Alkhalifa],49.99,408,4.1,20,0.57,0.18,0.09,0.09,0.08,Packt Publishing (January 28 2022),0.273333333333333
Data Science and Big Data Analytics: Discovering Analyzing Visualizing and Presenting Data,[EMC Education Services],41.76,432,4.4,186,0.67,0.17,0.08,0.03,0.06,Wiley,0.292666666666667
Fundamentals of Data Science Part I: Inference and Experiment,[Jared M Maruskin],22.63,314,5,1,1,0,0,0,0,Cayenne Canyon Press (April 30 2021),0.333333333333333
Graph Neural Networks: Foundations Frontiers and Applications,"[Lingfei Wu,Peng Cui et al.]",85.38,725,4.6,6,0.64,0.36,0,0,0,Springer,0.309333333333333
Data-Driven Evolutionary Optimization: Integrating Evolutionary Computation Machine Learning and Data Science (Studies in Computational Intelligence 975),,169.99,418,5,1,1,0,0,0,0,Springer,0.333333333333333
Getting Started with Elastic Stack 8.0: Run powerful and scalable data platforms to search observe and secure your organization,"[Asjad Athick,Shay Banon]",49.99,474,4.7,9,0.83,0.17,0,0,0,Packt Publishing (March 23 2022),0.322
Functional Aesthetics for Data Visualization,"[Vidya Setlur,Bridget Cogley]",40,336,,0,0,0,0,0,0,Wiley,0
R Programming for Data Science,[Roger Peng],25,194,4.2,20,0.64,0.14,0.07,0.08,0.07,lulu.com,0.28
Building Data Science Solutions with Anaconda: A comprehensive starter guide to building robust and complete models,"[Dan Meador,Kevin Goldsmith]",44.99,330,5,13,1,0,0,0,0,Packt Publishing (May 27 2022),0.333333333333333
Data Lakehouse in Action: Architecting a modern and scalable data analytics platform,[Pradeep Menon],39.99,206,4.3,7,0.45,0.36,0.19,0,0,Packt Publishing (March 17 2022),0.284
Fundamentals of Data Science Part III: Machine Learning,[Jared M Maruskin],29.95,316,,0,0,0,0,0,0,Cayenne Canyon Press (April 29 2022),0
Machine Learning and Big Data Analytics Paradigms: Analysis Applications and Challenges (Studies in Big Data 77),,13.32,659,,0,0,0,0,0,0,Springer,0
Data Analysis in Qualitative Research: Theorizing with Abductive Analysis,"[Stefan Timmermans,Iddo Tavory]",20,208,4.4,3,0.37,0.63,0,0,0,University of Chicago Press,0.291333333333333
Mastering TensorFlow 2.x: Implement Powerful Neural Nets across Structured Unstructured datasets and Time Series Data (English Edition),[Rajdeep Dua],29.95,418,5,1,1,0,0,0,0,BPB Publications (March 24 2022),0.333333333333333
The Tableau Workshop: A practical guide to the art of data visualization with Tableau,"[Sumit Gupta,Sylvester Pinto et al.]",46.99,822,4.8,29,0.85,0.09,0.06,0,0,Packt Publishing (April 28 2022),0.319333333333333
HBR Guide to Data Analytics Basics for Managers (HBR Guide Series),,14.19,256,4.5,371,0.7,0.14,0.11,0.02,0.03,Harvard Business Review Press (April 3 2018),0.297333333333333
The Hundred-Page Machine Learning Book,[Andriy Burkov],31.99,160,4.6,816,0.81,0.1,0.04,0.02,0.03,Andriy Burkov (January 13 2019),0.309333333333333
Oracle Database Administration Interview Questions Youll Most Likely Be Asked: Interview Questions Youll Most Likely Be Asked (Job Interview Questions Series),[Vibrant Publishers],23.99,236,4.2,32,0.62,0.14,0.17,0.07,0, is focused on presenting the best texts for learning about technology and business as well as books for test preparation. Categories include programming operating systems and other texts focused on IT. In addition a series of books helps professionals in their own disciplines learn the business skills needed in their professional growth. ,0.287333333333333
Hypothesis Testing: An Intuitive Guide for Making Data Driven Decisions,[Jim Frost],23.74,381,4.6,101,0.78,0.13,0.02,0.03,0.04,Statistics Jim Publishing (September 14 2020),0.305333333333333
Game Data Science,"[Magy Seif El-Nasr,Truong-Huy D. Nguyen et al.]",73.09,416,5,6,1,0,0,0,0,Oxford University Press (January 14 2022),0.333333333333333
The Data Model Resource Book Vol. 3: Universal Patterns for Data Modeling,"[Len Silverston,Paul Agnew]",51.31,648,4.4,37,0.67,0.14,0.06,0.13,0,Wiley,0.29
Supervised Machine Learning for Text Analysis in R (Chapman & Hall/CRC Data Science Series),,46.02,402,4.5,11,0.75,0.12,0.13,0,0,Chapman and Hall/CRC,0.308
Combining DataOps MLOps and DevOps: Outperform Analytics and Software Development with Expert Practices on Process Optimization and Automation (English Edition),"[Dr. Kalpesh Parikh,Amit Johri]",29.95,,3,2,0.5,0.5,0,0,0,,0.3
Categorical Data Analysis for the Behavioral and Social Sciences,"[Razia Azen,Cindy M. Walker]",87.94,314,,0,0,0,0,0,0,Routledge,0
Big Data and Artificial Intelligence: Complete Guide to Data Science AI Big Data and Machine Learning.,[Hans Weber],24.95,160,4.1,10,0.71,0.13,0.15,0,0,Independently published (September 22 2021),0.301333333333333
Hands-On Healthcare Data: Taming the Complexity of Real-World Data,[Andrew Nguyen],75.99,242,,0,0,0,0,0,0,OReilly Media,0
Python Data Cleaning Cookbook: Modern techniques and Python tools to detect and remove dirty data and extract key insights,[Michael Walker],37.13,436,4.8,64,0.83,0.14,0.04,0,0,Packt Publishing (December 11 2020),0.322
DATA SCIENCE: Simple and Effective Tips and Tricks to Learn Data Science,[Benjamin Smith],15.39,169,3.9,6,0.47,0.34,0.2,0,0,Independently published (August 24 2020),0.287333333333333
Natural Language Processing with Transformers: Building Language Applications with Hugging Face,"[Lewis Tunstall,Leandro von Werra et al.]",43.09,406,4.6,105,0.78,0.14,0.03,0.05,0,OReilly Media,0.31
Data Mining for Business Analytics: Concepts Techniques and Applications in Python,"[Galit Shmueli,Peter C. Bruce et al.]",108.99,608,4.5,58,0.76,0.1,0.05,0.03,0.06,Wiley,0.298
Quantitative Social Science Data with R: An Introduction,[Brian J Fogarty],51,328,4.9,16,0.91,0.09,0,0,0,SAGE Publications Ltd,0.327333333333333
Mathematics for Machine Learning,,46.54,398,4.7,580,0.8,0.13,0.03,0.02,0.02,Cambridge University Press,0.311333333333333
Machine Learning for Time-Series with Python: Forecast predict and detect anomalies with state-of-the-art machine learning methods,[Ben Auffarth],49.39,370,4,27,0.53,0.23,0.09,0.06,0.1,Packt Publishing (October 29 2021),0.270666666666667
Statistics for Health Data Science: An Organic Approach (Springer Texts in Statistics),,76.54,244,4.6,12,0.86,0.14,0,0,0,Springer,0.324
Python for Data Analysis: Data Wrangling with Pandas NumPy and IPython,[William McKinney],53.99,547,4.6,1631,0.76,0.15,0.05,0.02,0.02,OReilly Media,0.307333333333333
Python Data Analysis: Perform data collection data processing wrangling visualization and model building using Python 3rd Edition,"[Avinash Navlani,Armando Fandango et al.]",34.99,478,4.7,45,0.84,0.09,0.04,0.03,0,Packt Publishing,0.316
R Cookbook: Proven Recipes for Data Analysis Statistics and Graphics,"[JD Long,Paul Teetor]",52.39,600,4.5,104,0.71,0.16,0.09,0.04,0,OReilly Media,0.302666666666667
Microsoft Excel Data Analysis and Business Modeling (Office 2021 and Microsoft 365) (Business Skills),[Wayne Winston],40.99,1168,4.6,51,0.75,0.17,0.03,0.05,0,Microsoft Press,0.308
Data Analysis for Social Science: A Friendly and Practical Introduction,"[Elena Llaudet,Kosuke Imai]",39.95,256,,0,0,0,0,0,0,Princeton University Press (November 29 2022),0
Guerrilla Data Analysis Using Microsoft Excel: Overcoming Crap Data and Excel Skirmishes,"[Oz du Soleil,Bill Jelen]",34.95,274,5,3,1,0,0,0,0,Holy Macro! Books,0.333333333333333
Qualitative Data Analysis: A Methods Sourcebook,"[Matthew B. Miles,A. Michael Huberman et al.]",85.5,408,4.7,197,0.84,0.1,0.04,0.02,0,SAGE Publications Inc,0.317333333333333
Excel Data Analysis For Dummies (For Dummies (Computer/Tech)),[Paul McFedries],24.49,368,4,8,0.46,0.24,0.15,0.15,0,For Dummies,0.267333333333333
Data Analysis Using SQL and Excel,[Gordon S. Linoff],38.54,800,4.4,92,0.61,0.25,0.11,0.03,0,Wiley,0.296
Python for ArcGIS Pro: Automate cartography and data analysis using ArcPy ArcGIS API for Python Notebooks and pandas,"[Silas Toms,Bill Parker et al.]",,586,4.7,50,0.84,0.1,0.04,0.03,0,Packt Publishing (April 29 2022),0.318666666666667
Python for Excel: A Modern Environment for Automation and Data Analysis,[Felix Zumstein],32.99,335,4.5,178,0.72,0.18,0.03,0.04,0.02,OReilly Media,0.300666666666667
Storytelling with Data: Lets Practice!,[Cole Nussbaumer Knaflic],24.49,448,4.7,555,0.79,0.13,0.05,0.01,0.01,Wiley,0.31
Time Series Analysis with Python Cookbook: Practical recipes for exploratory data analysis data preparation forecasting and model evaluation,[Tarek A. Atwan],47.49,630,4.9,10,0.86,0.14,0,0,0,Packt Publishing (June 30 2022),0.324
Data Driven Fire Administration: An Introduction to Research Methods Statistical Analysis and Analytic Management for the Fire Service,"[H Scott Walker,Karen L. Sears]",59.99,467,,0,0,0,0,0,0,Parkwood publications (August 19 2022),0
Regression Analysis: An Intuitive Guide for Using and Interpreting Linear Models,[Jim Frost],23.74,355,4.6,127,0.77,0.12,0.07,0.02,0.03,Statistics Jim Publishing (October 16 2020),0.307333333333333
MASTERING EXCEL DATA & STATISTICAL ANALYSIS: All-In-One Practical Approach to Creating and Analyzing Data Charts And Pivot Tables for Better Business ... Tricks on Data Analysis & Business Modelling,[CARTY BINN],23.37,708,,0,0,0,0,0,0,Independently published (March 31 2022),0
"Problems for ""Data Analysis for Social Scientists: A Foundational Crash Course""",[Sara Fisher Ellison],10,127,3.5,3,0.63,0.37,0,0,0,Independently published (May 24 2022),0.308666666666667
Thinking Clearly with Data: A Guide to Quantitative Reasoning and Analysis,"[Ethan Bueno de Mesquita,Anthony Fowler]",28.45,400,4.3,34,0.73,0.07,0.04,0.06,0.09,Princeton University Press (November 16 2021),0.284
Topological Data Analysis with Applications,"[Gunnar Carlsson,Mikael Vejdemo-Johansson]",42.58,230,5,4,1,0,0,0,0,Cambridge University Press,0.333333333333333
Storytelling with Data: A Data Visualization Guide for Business Professionals,[Cole Nussbaumer Knaflic],28.49,288,4.6,3313,0.76,0.15,0.05,0.01,0.02,Wiley,0.306
R in Action: Data Analysis and Graphics with R,[Dr. Rob Kabacoff],51.96,608,4.6,247,0.77,0.13,0.05,0.02,0.03,Manning,0.306
Excel 2022: The Most Comprehensive Guide to Learn All Formulas and Functions in Just One Week with Step--Step Explanations Practical Examples & Picture Demonstrations.,[Kevin Cooper],19.62,168,4.9,89,0.95,0.02,0.03,0,0,Independently published (May 9 2022),0.328
Data Analysis: For Continuous School Improvement,[Victoria L. Bernhardt],39.96,426,4.6,242,0.75,0.13,0.09,0.01,0.02,Routledge,0.305333333333333
Lab Manual for Statistical Analysis,"[Dawn M. McBride,J. Cooper Cutting]",30,128,4.8,14,0.9,0.1,0,0,0,SAGE Publications Inc,0.326666666666667
Longitudinal Analysis: Modeling Within-Person Fluctuation and Change (Multivariate Applications Series),,76.98,626,4.6,14,0.7,0.18,0.12,0,0,Routledge,0.305333333333333
Business Intelligence Guidebook: From Data Integration to Analytics,[Rick Sherman],54.95,550,4.4,92,0.69,0.15,0.06,0.06,0.05,Morgan Kaufmann,0.293333333333333
Data Flow Diagrams - Simply Put!: Process Modeling Techniques for Requirements Elicitation and Workflow Analysis (Advanced Business Analysis Topics),,11.97,118,4.2,33,0.52,0.31,0.1,0.08,0,CreateSpace Independent Publishing Platform (August 1 2016),0.286666666666667
Julia for Data Analysis,[Bogumil Kaminski],59.99,246,,0,0,0,0,0,0,Manning (December 20 2022),0
Qualitative Data Analysis: Practical Strategies,[Pat Bazeley],45,584,4.5,9,0.61,0.24,0.15,0,0,SAGE Publications Ltd,0.297333333333333
Econometric Analysis of Cross Section and Panel Data second edition (The MIT Press),[Jeffrey M. Wooldridge],115,1096,4.5,115,0.75,0.13,0.04,0.03,0.04,The MIT Press,0.299333333333333
Computational Topology for Biomedical Image and Data Analysis (Focus Series in Medical Physics and Biomedical Engineering),,18.36,116,,0,0,0,0,0,0,CRC Press,0
R for Data Analysis in easy steps - R Programming essentials,,13.99,192,4.3,129,0.59,0.2,0.15,0.03,0.04,In Easy Steps Limited (March 13 2018),0.286666666666667
Regression Analysis of Count Data (Econometric Society Monographs Series Number 30),"[A. Colin Cameron,Pravin K. Trivedi]",,436,4.5,6,0.49,0.51,0,0,0,Cambridge University Press,0.299333333333333
Secondary Data in Mixed Methods Research (Mixed Methods Research Series),,45,264,4.4,4,0.7,0.3,0,0,0,SAGE Publications Inc,0.313333333333333
Data Analysis: A Bayesian Tutorial,"[Devinderjit Sivia,John Skilling]",47.97,246,4.6,67,0.74,0.16,0.04,0.03,0.02,Oxford University Press,0.302666666666667
Computational Topology for Data Analysis,"[Tamal Krishna Dey,Yusu Wang]",58.31,452,,0,0,0,0,0,0,Cambridge University Press,0
Cluster Analysis 5th Edition,[Everitt],51.69,352,4.2,22,0.55,0.18,0.21,0.06,0,Wiley,0.281333333333333
Intelligent Reliability Analysis Using MATLAB and AI: Perform Failure Analysis and Reliability Engineering using MATLAB and Artificial Intelligence (English Edition),"[Dr. Cherry Bhargava,Dr. Pardeep Kumar Sharma]",19.95,196,,0,0,0,0,0,0,BPB Publications (June 22 2021),0
Data Analytics: Advanced Guide to Learn the Realms of Data Analytics Effectively,[Benjamin Smith],19.99,205,,0,0,0,0,0,0,Independently published (January 4 2021),0
Foundations of Crime Analysis: Data Analyses and Mapping,"[Jeffery T. Walker,Grant R. Drawve]",66.95,278,4.1,11,0.57,0.11,0.19,0.12,0,Routledge,0.273333333333333
Qualitative Data Analysis with NVivo,"[Kristi Jackson,Pat Bazeley]",47,376,4.6,110,0.77,0.14,0.05,0.01,0.02,SAGE Publications Ltd,0.306666666666667
Data Engineering with Alteryx: Helping data engineers apply DataOps practices with Alteryx,[Paul Houghton],44.99,366,4.8,8,0.83,0.17,0,0,0,Packt Publishing (June 30 2022),0.322
Pandas 1.x Cookbook: Practical recipes for scientific computing time series analysis and exploratory data analysis using Python 2nd Edition,"[Matt Harrison,Theodore Petrou]",39.99,626,4.3,79,0.63,0.15,0.15,0.07,0,Packt Publishing (February 27 2020),0.289333333333333
SPSS Survival Manual: A Step Step Guide to Data Analysis Using IBM SPSS,[Pallant],38.25,378,4.7,424,0.8,0.11,0.06,0.01,0.02,Open University Press,0.310666666666667
Advanced Algorithms and Data Structures,[Marcello La Rocca],45.99,768,4.2,21,0.62,0.23,0.08,0.08,0,Manning (June 29 2021),0.294666666666667
Recovering Black Storytelling in Qualitative Research (Futures of Data Analysis in Qualitative Research),,34.03,192,4.5,26,0.82,0.09,0.09,0,0,Routledge,0.315333333333333
Adventures in Social Research: Data Analysis Using IBM SPSS Statistics,"[Earl Robert Babbie,William E. Wagner et al.]",85,512,4.4,116,0.73,0.13,0.04,0.01,0.09,SAGE Publications Inc,0.293333333333333
Data Analysis: A Model Comparison Approach to Regression ANOVA and Beyond,"[Charles M. Judd,Gary H. McClelland et al.]",73.43,366,4.4,29,0.73,0.05,0.12,0.06,0.05,Routledge,0.292
Data Analysis with SPSS: A First Course in Applied Statistics,"[Stephen Sweet,Karen Grace-Martin]",105.99,288,4.2,60,0.61,0.2,0.08,0.04,0.08,Pearson,0.283333333333333
Qualitative and Mixed Methods Data Analysis Using Dedoose: A Practical Approach for Research Across the Social Sciences,"[Michelle Suzanne Salmona,Eli Lieber et al.]",45,280,4.3,18,0.62,0.17,0.13,0.07,0,SAGE Publications Inc,0.287333333333333
Doing Bayesian Data Analysis: A Tutorial with R JAGS and Stan,[John Kruschke],68.99,776,4.6,176,0.79,0.12,0.03,0.03,0.03,Academic Press,0.307333333333333
Learning R: A Step--Step Function Guide to Data Analysis,[Richard Cotton],40.99,396,4.4,152,0.66,0.22,0.06,0.02,0.04,OReilly Media,0.296
Analysis of Panel Data (Econometric Society Monographs),[Cheng Hsiao],49.99,500,,0,0,0,0,0,0,Cambridge University Press,0
Advanced Statistics in Research: Reading Understanding and Writing Up Data Analysis Results,[Larry Hatcher],59.95,644,4.7,96,0.82,0.1,0.05,0.03,0,Shadow Finch Media LLC,0.314
Intro to Python for Computer Science and Data Science: Learning to Program with AI Big Data and The Cloud,"[Paul Deitel,Harvey Deitel]",86.69,880,4.7,279,0.82,0.1,0.03,0.03,0.02,Pearson,0.311333333333333
Social Statistics: Managing Data Conducting Analyses Presenting Results (Sociology Re-Wired),[Thomas J. Linneman],105.63,644,5,3,1,0,0,0,0,Routledge,0.333333333333333
An Introduction to Analysis of Financial Data with R,[Tsay],53.71,414,4.2,26,0.51,0.29,0.14,0.06,0,Wiley,0.283333333333333
Undergraduate Lectures on Measurements and Data Analysis (2nd Printing),[Dr. Paul Rumbach],30,212,,0,0,0,0,0,0,Independently published (May 26 2022),0
Data Structures and Algorithm Analysis in C++ Third Edition (Dover Books on Computer Science),,28.8,624,4.4,39,0.64,0.17,0.09,0.09,0,Dover Publications,0.288666666666667
Experimental Design and Practical Data Analysis in POSITRON EMISSION TOMOGRAPHY,"[Prof Federico E Turkheimer,Mattia Veronese et al.]",39.9,114,4.5,4,0.74,0.26,0,0,0,CreateSpace Independent Publishing Platform,0.316
Think Bayes: Bayesian Statistics in Python (Oreilly),[Allen B. Downey],23.98,338,4.5,43,0.79,0.06,0.1,0.04,0.02,OReilly Media,0.306
Applying Quantitative Bias Analysis to Epidemiologic Data (Statistics for Biology and Health),,53.03,483,5,1,1,0,0,0,0,Springer,0.333333333333333
PYTHON FOR DATA ANALYSIS: A PRACTICAL GUIDE YOU CANâ€™T MISS TO MASTER DATA USING PYTHON. KEY TOOLS FOR DATA SCIENCE INTRODUCING YOU INTO DATA MANIPULATION DATA VISUALIZATION MACHINE LEARNING.,[ERICK THOMPSON],15.99,117,4.6,7,0.81,0.19,0,0,0,Independently published (September 18 2020),0.320666666666667
Data Literacy Fundamentals: Understanding the Power & Value of Data (The Data Literacy Series),,34.95,172,4.4,51,0.62,0.22,0.09,0.06,0,Data Literacy Press (July 3 2020),0.291333333333333
Data Analysis: An Introduction (Quantitative Applications in the Social Sciences),,28.01,88,4.3,15,0.48,0.37,0.15,0,0,SAGE Publications Inc,0.288666666666667
Hands-On Graph Analytics with Neo4j: Perform graph processing and visualization techniques using connected data across your enterprise,[Estelle Scifo],44.99,510,4.2,23,0.54,0.22,0.17,0.07,0,Packt Publishing (August 21 2020),0.282
Python for Data Science For Dummies,"[John Paul Mueller,Luca Massaron]",19.89,496,4.4,178,0.62,0.23,0.09,0.03,0.03,For Dummies,0.292
Problem Solving and Data Analysis: Sat Math Practice Test,[Educational Testing Group],14.95,238,5,2,1,0,0,0,0,Independently published (July 16 2018),0.333333333333333
Financial Theory with Python: A Gentle Introduction,[Yves Hilpisch],32.99,204,4.3,18,0.58,0.28,0.07,0.08,0,OReilly Media,0.292666666666667
Think Stats: Exploratory Data Analysis,[Allen B. Downey],25.49,226,4.2,134,0.64,0.16,0.07,0.06,0.07,OReilly Media,0.282666666666667
Learn T-SQL Querying: A guide to developing efficient and elegant T-SQL code,"[Pedro Lopes,Pam Lahoud]",39.99,484,4.7,41,0.86,0.07,0.04,0.03,0,Packt Publishing (May 3 2019),0.317333333333333
Analysis of Categorical Data with R (Chapman & Hall/CRC Texts in Statistical Science),,92.7,,4.6,18,0.72,0.19,0.09,0,0,Routledge,0.308666666666667
Qualitative Data Analysis: An Introduction,[Carol Grbich],42.73,344,4.5,23,0.72,0.15,0.07,0.07,0,SAGE Publications Ltd,0.303333333333333
Exploratory Data Analysis with R,[Roger Peng],20,208,4.3,7,0.44,0.44,0.11,0,0,lulu.com (April 20 2016),0.286
Statistics and Data Analysis for Nursing Research,[Denise Polit],113.99,456,4.3,239,0.67,0.13,0.09,0.05,0.06,Pearson,0.286666666666667
An Introduction to Data Analysis: Quantitative Qualitative and Mixed Methods,[Tiffany Bergin],46,296,4.6,44,0.71,0.2,0.09,0,0,SAGE Publications Ltd,0.308
Analytics Stories: Using Data to Make Good Things Happen,[Wayne L. Winston],19.89,528,4.8,34,0.83,0.09,0.08,0,0,Wiley,0.316666666666667
Fuzzy Transforms for Image Processing and Data Analysis: Core Concepts Processes and Applications,"[Ferdinando Di Martino,Salvatore Sessa]",169.99,227,,0,0,0,0,0,0,Springer,0
Data Analysis with Mplus (Methodology in the Social Sciences),,52,305,4.8,32,0.78,0.22,0,0,0,The Guilford Press,0.318666666666667
Unstructured Data Analysis: Entity Resolution and Regular Expressions in SAS,[K. Matthew Windham],34.95,166,4.5,2,0.5,0.5,0,0,0,SAS Institute (September 11 2018),0.3
Spatial Data Analysis: Models Methods and Techniques (SpringerBriefs in Regional Science),,74.99,88,5,1,1,0,0,0,0,Springer,0.333333333333333
The Good the Bad and the Data: Shane the Lone Ethnographerâ€™s Basic Guide to Qualitative Data Analysis,[Sally Campbell Galman],44.95,103,4.7,24,0.88,0.06,0.06,0,0,Routledge,0.321333333333333
Codeless Time Series Analysis with KNIME: A practical guide to implementing forecasting models for time series analysis applications,"[Corey Weisinger,Maarit Widmann et al.]",44.99,392,4.7,5,0.75,0.25,0,0,0,Packt Publishing (August 19 2022),0.316666666666667
An Introduction to Statistics and Data Analysis Using StataÂ®: From Research Design to Final Report,"[Lisa Daniels,Nicholas W. Minot]",74.61,392,4.6,30,0.74,0.16,0.1,0,0,SAGE Publications Inc,0.309333333333333
Tableau Prep Cookbook: Use Tableau Prep to clean combine and transform your data for analysis,[Hendrik Kleine],39.99,288,4.7,14,0.75,0.25,0,0,0,Packt Publishing (March 19 2021),0.316666666666667
A Step Step Guide PLS-SEM Data Analysis Using SmartPLS 4 (Partial least squares structural equation modeling),[Yan Piaw Chua],40,329,,0,0,0,0,0,0,Independently published (August 16 2022),0
Network Security Through Data Analysis: From Data to Action,[Michael Collins],46.63,428,4.5,17,0.72,0.14,0.05,0.09,0,OReilly Media,0.299333333333333
