title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,publisher,media_avaliacao
Modern Data Science with R (Chapman & Hall/CRC Texts in Statistical Science),,72.59,632,3.9,9,0.69,0.15,0.15,0,0,Chapman and Hall/CRC,0.3
Machine Learning: 4 Books in 1: The #1 Beginners Guide to Master the Basics of Python Programming Learn the Art of Data Science and Build Artificial Intelligence,[Andrew Park],25.97,342,4.6,344,0.81,0.1,0.03,0.01,0.05,Independently published (July 20 2022),0.307333333333333
Building Big Data Pipelines with Apache Beam: Use a single programming model for both batch and stream data processing,[Jan Lukavsky],46.99,342,3.9,11,0.55,0.19,0.13,0.13,0,Packt Publishing (January 21 2022),0.277333333333333
Algorithmic Finance: A Companion To Data Science,[Christopher Hian-ann Ting],116.85,408,,0,0,0,0,0,0,WSPC (May 6 2022),0
Naked Statistics: Stripping the Dread from the Data,,11.69,304,4.6,2271,0.72,0.19,0.06,0.02,0.02,W. W. Norton & Company,0.306666666666667
Bayesian Ideas and Data Analysis: An Introduction for Scientists and Statisticians (Chapman & Hall/CRC Texts in Statistical Science),,64.1,516,4,14,0.55,0.19,0.08,0.1,0.08,CRC Press,0.268666666666667
Julia Data Science,"[Jose Storopoli,Rik Huijzer et al.]",31.99,170,4.5,9,0.74,0.26,0,0,0,Independently published (October 28 2021),0.316
Listening to People: A Practical Guide to Interviewing Participant Observation Data Analysis and Writing It All Up (Chicago Guides to Writing Editing and Publishing),,19,333,4.5,33,0.73,0.16,0.07,0.05,0,University of Chicago Press (October 15 2021),0.306666666666667
Doing Data Science: Straight Talk from the Frontline,"[""Cathy ONeil"",Rachel Schutt]",26.3,408,4.3,172,0.6,0.24,0.07,0.05,0.03,OReilly Media,0.286666666666667
Microsoft Power BI Quick Start Guide: Bring your data to life through data modeling visualization digital storytelling and more 2nd Edition,"[Devin Knight,Mitchell Pearson et al.]",28.49,294,4.3,142,0.57,0.23,0.14,0.03,0.02,Packt Publishing,0.284666666666667
R in Action Third Edition: Data analysis and graphics with R and Tidyverse,[Robert I. Kabacoff],56.99,656,4.6,8,0.82,0.18,0,0,0,Manning,0.321333333333333
Data Science Ethics: Concepts Techniques and Cautionary Tales,[David Martens],37.2,272,5,2,1,0,0,0,0,Oxford University Press (June 24 2022),0.333333333333333
Data Science and Machine Learning: Mathematical and Statistical Methods (Chapman & Hall/CRC Machine Learning & Pattern Recognition),,77.43,510,4.8,37,0.84,0.09,0.07,0,0,Chapman and Hall/CRC,0.318
Data Mesh in Action,"[Jacek Majchrzak,Sven Balnojan et al.]",69.99,300,,0,0,0,0,0,0,Manning (November 22 2022),0
The Machine Learning Solutions Architect Handbook: Create machine learning platforms to run solutions in an enterprise setting,[David Ping],43.97,442,4.7,39,0.82,0.12,0.06,0,0,Packt Publishing (January 21 2022),0.317333333333333
Practical Big Data Analytics: Hands-on techniques to implement enterprise analytics and machine learning using Hadoop Spark NoSQL and R,[Nataraj Dasgupta],44.99,412,3.8,7,0.49,0.17,0.17,0.17,0,Packt Publishing (January 15 2018),0.265333333333333
Simplify Big Data Analytics with Amazon EMR: A beginners guide to learning and implementing Amazon EMR for building data analytics solutions,[Sakti Mishra],46.99,430,5,9,1,0,0,0,0,Packt Publishing (March 25 2022),0.333333333333333
Bootstrap:Data Science Workbook,"[Emmanuel Schanzer,Kathi Fisler et al.]",4.73,148,,0,0,0,0,0,0,Lulu.com (August 14 2020),0
Amazon Redshift Cookbook: Recipes for building modern data warehousing solutions,"[Shruti Worlikar,Thiyagarajan Arumugam et al.]",51.99,384,4.5,23,0.66,0.24,0.11,0,0,Packt Publishing (July 23 2021),0.306
SQL for Data Analytics: Harness the power of SQL to extract insights from data 3rd Edition,"[Jun Shan,Matt Goldwasser et al.]",44.99,540,5,6,1,0,0,0,0,Packt Publishing,0.333333333333333
Communicating with Data: Making Your Case With Data,[Carl Allchin],40.99,340,5,4,1,0,0,0,0,OReilly Media,0.333333333333333
Data Analytics: A Small Data Approach (Chapman & Hall/CRC Data Science Series),,89.95,257,5,2,1,0,0,0,0,Chapman and Hall/CRC,0.333333333333333
Data Structures the Fun Way: An Amusing Adventure with Coffee-Filled Examples,[Jeremy Kubica],29.99,304,,0,0,0,0,0,0,No Starch Press (November 8 2022),0
Data Analysis with R - Second Edition: A comprehensive guide to manipulating analyzing and visualizing data in R,[Tony Fischetti],38.82,570,4.4,20,0.74,0.07,0.08,0.11,0,Packt Publishing,0.296
Data Engineering with AWS: Learn how to design and build cloud-based data transformation pipelines using AWS,[Gareth Eagar],39.99,482,4.4,48,0.63,0.22,0.08,0.03,0.04,Packt Publishing (December 29 2021),0.291333333333333
Data Science: Advanced Guide to Learn the Realms of Data Science Effectively,[Benjamin Smith],19.99,212,,0,0,0,0,0,0,Independently published (January 4 2021),0
Data Science for Supply Chain Forecasting,[Nicolas Vandeput],49.39,280,4.6,63,0.71,0.16,0.11,0.02,0,De Gruyter,0.304
